매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
125163.1502,2020,골목상권,2110949,한남IC,1,1,618,300,1683,79731,0,0,0,0,62126,0,0,0,59187.6,50294,112,2858.1675,0,0.965779223,0.321926408,2.723300971
94688.22344,2020,골목상권,2110951,신사은행나무공원,1,1,1039,580,273,129649,0,0,0,1,29000,0,0,0,88341.2,70153,161,2858.36382,0,1.034482759,0.689655172,0.262752647
177736.4615,2020,골목상권,2110952,논현목련공원,1,1,879,583,117,70687,0,0,0,0,21629,0,0,0,33995.8,32963,257,2859.082721,0,1.387026677,0.924684451,0.133105802
34587.75458,2020,골목상권,2110954,국기원,1,1,497,335,636,51576,0,0,0,2,39798,0,0,0,78936.8,72891,34,2859.331089,0,0.753806724,0.753806724,1.279678068
221061.4832,2020,골목상권,2110955,논현초등학교,1,1,7080,4369,3430,749107,0,0,0,2,190912,0,0,0,412995,387342.5,1958,2860.20956,0,1.571404626,0.523801542,0.484463277
156661.2839,2020,골목상권,2110957,언북중학교,1,1,1816,1116,1251,186377,0,0,0,3,94815,0,0,0,155200.2,100676,532,2859.310481,0,0.632811264,0.843748352,0.688876652
114302.1758,2020,골목상권,2110958,역삼역 4번,1,1,858,528,994,71759,0,0,0,2,73119,0,0,0,78058.2,43665.5,290,2859.962277,0,0.410290075,1.230870225,1.158508159
36192.9011,2020,골목상권,2110959,신구중학교,1,1,365,166,271,20245,0,0,0,0,35959,0,0,0,18472,14550,82,2860.491845,0,0.83428349,2.224755972,0.742465753
83584.97436,2020,골목상권,2110960,은광여고,1,1,719,417,1522,30420,0,0,0,1,25543,0,0,0,17848.4,15351,239,2861.358716,0,1.174490076,1.565986767,2.116828929
119836.2601,2020,골목상권,2110961,언주역 3번,1,1,2169,1298,962,153989,1,0,0,1,63031,0,0,0,120047,91289,612,2861.715533,0,0.951912551,0.475956275,0.443522361
38957.30037,2020,골목상권,2110963,역삼월드메르디앙아파트,1,1,1724,847,780,125142,0,0,0,1,40391,0,0,0,62384.6,56115,543,2861.604581,0,0.742739719,0.247579906,0.452436195
117776.2543,2020,골목상권,2110965,언주역 6번,1,1,2309,1512,1139,168558,0,0,0,2,65107,0,0,0,122421.4,96468,694,2861.369833,0,1.075153209,0.307186631,0.493287137
