매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
171195.25,2021,골목상권,2110984,포이초등학교(개포목련어린이공원),7,0,1,0,0,0,0,0,0,4267,1912,1556,109,26,321,363,209,102,38,35,1084688,257999,156895,156038,155857,154360,153495,152027,156014,10,0,0,0,0,137097,227933,110840,186164,184901,161162,213687,175.09920927752546,21.867759040101653,592.6535676252593,616.8699585010082,295.63758680490406,149.63712504034189,99.62305592102705,1092.2646808684235,4144,0,1,0
229094.4457,2021,골목상권,2110985,청담근린공원,3,0,1,0,0,0,0,0,0,956,480,1338,28,0,11,33,46,30,23,103,207423,45847,28957,30505,30819,31103,30820,29168,26051,1,0,0,0,0,43265,18566,32681,45410,39875,30730,40161,175.06535198495726,21.85860970526912,592.6228332588373,616.7124016421826,295.46711867212395,149.62581339298362,99.6291010040866,1092.6980271606387,0,0,0,0
74118.5157,2021,골목상권,2110989,대치동아우편취급국,9,0,1,0,0,0,0,0,0,1588,904,444,60,1,257,235,115,49,22,8,706557,143514,105562,109226,110373,106858,103942,86613,83982,1,1,0,0,0,40587,126977,114476,139715,145213,95003,85173,175.10093088201592,21.867645922592505,592.8624458397628,616.9346887036305,295.5475102052666,149.66699810294352,99.64755040508042,1092.3907506113044,0,0,0,0
89850.67391,2021,골목상권,2110992,도곡초등학교,18,0,1,0,0,0,0,0,0,7894,3681,2179,206,3,595,582,346,223,84,137,1968649,383408,273629,270593,273004,272103,273353,304241,301726,3,3,0,0,0,138866,641832,239386,222766,366144,259908,238614,175.05797963393078,21.87337872371801,592.6614795089815,616.5642607121894,295.4526559308579,149.53168061559458,99.59531706502464,1092.5773528232148,0,0,0,0
95191.98188,2021,골목상권,2110994,개포고등학교,6,0,1,0,0,0,0,0,0,1777,797,494,56,0,58,99,91,42,12,58,435840,101669,62990,64257,63943,63636,62941,60236,57837,18,1,0,0,0,61589,88101,41442,56481,76315,65506,107995,174.95258814142724,21.877873712855557,592.4306657344916,616.3458085669689,295.2887256522018,149.41201615946213,99.55587734491924,1091.9496460653909,0,0,0,0
73085.57246,2021,골목상권,2110995,봉은사역 4번,3,0,1,0,0,0,0,0,0,2802,1097,5085,70,1,39,35,34,27,26,731,517312,117981,73366,74794,74433,74741,74492,72907,72578,5,0,0,0,0,122756,89761,57228,89586,100524,75945,104268,174.9951481199892,21.886917893803407,592.6515961461222,616.5596762017631,295.3731773783912,149.45641963865168,99.5920724161656,1091.8338749393326,8262,0,1,0
110311.4964,2021,골목상권,2110996,대치2동주민센터,3,0,1,0,0,0,0,0,0,1430,682,1959,21,0,2,4,4,23,23,184,768489,147947,108514,109404,108619,111047,109719,113474,107715,8,2,0,0,0,112840,283962,77381,72056,145627,100572,88893,175.00920150904253,21.895552419596623,592.8771652226604,616.7740456421111,295.46510510777455,149.49877450414922,99.60347881236903,1091.081842642904,21608,0,1,0
224800.8276,2021,골목상권,2110997,대청초등학교,21,0,1,0,0,0,0,0,0,7187,3441,1724,148,0,101,433,309,69,26,44,2124393,444315,306957,308794,307950,306284,305800,294154,294455,45,1,0,0,0,236963,344828,278482,335599,337600,314257,513629,175.0191267680376,21.9033637269218,593.051566696502,616.9231874551091,295.50084926036146,149.51799681688348,99.6111693782278,1090.1041997502389,150543,0,10,0
330527.5471,2021,골목상권,2110999,윗방죽마을공원,6,0,1,0,0,0,0,0,0,3177,2401,268,2,0,0,2,10,4,1,0,66700,13655,9551,9628,9616,9634,9626,9462,9181,10,0,1,0,0,239796,10440,9629,16253,12234,8050,10092,174.999705158599,21.91200505132317,593.2446429952604,616.8227009679058,295.2083733815936,149.48141889080532,99.5337039666438,1089.7673267447617,71358,0,5,0
8705.054348,2021,골목상권,2111000,대왕초등학교(세곡동사거리서남측),3,0,1,0,0,0,0,0,0,444,201,39,0,0,0,0,0,0,0,0,22538,3250,3303,3376,3702,3566,3555,2911,2128,3,0,0,0,0,52892,5215,1644,2631,3640,3040,6368,175.06006055552277,21.92106334196035,593.4898867501158,617.0768649616915,295.3076740733594,149.46632232978456,99.52813708114012,1089.4199796289056,3698,0,1,0
107539.2174,2021,골목상권,2111002,한국교통안전공단 강남자동차검사소,3,0,1,0,0,0,0,0,0,317,0,317,0,0,0,0,0,0,0,0,1155,279,141,198,177,186,192,117,144,5,0,0,0,0,59240,135,0,6,237,186,591,175.12746860039897,21.9301253772402,593.7352318872593,617.3319608132673,295.41197654300527,149.48594462095025,99.50272498402607,1089.594192104982,6477,0,1,0
100632.0,2022,골목상권,2110963,역삼월드메르디앙아파트,3,0,1,0,0,0,1,0,0,1684,860,780,45,2,165,141,93,47,11,137,391348,81875,57615,57141,57715,58935,58389,50839,50715,1,0,0,0,1,40391,52217,66248,90756,78937,46325,56864,175.12746860039897,21.9301253772402,593.7352318872593,617.3319608132672,295.41197654300527,149.48594462095022,99.50272498402607,1089.594192104982,0,0,0,0
415433.3926,2022,골목상권,2110983,국립국악고등학교,3,0,1,0,0,0,1,0,0,2703,1231,783,67,8,149,240,151,38,28,12,437181,91112,63061,61880,63168,63484,62858,61210,61521,3,1,0,0,0,56041,86676,57787,60770,75385,74818,81746,175.12090970312642,21.92844361086716,593.6867753715102,617.2246599706282,295.40512198785774,149.46052558980188,99.482271564598,1089.512206233951,7415,0,1,0
73729.90741,2022,골목상권,2110995,봉은사역 4번,3,0,1,0,0,0,1,0,0,2802,1097,5085,70,1,39,35,34,27,26,731,494796,111761,71108,72210,71028,71733,71732,68586,68401,5,0,0,0,0,122756,90112,54689,85565,95467,72033,96931,175.09162082283845,21.925108256987357,593.6854062704241,617.1561577640044,295.22719022008414,149.47269936070674,99.50478489995528,1089.916136897684,6674,0,1,0
178130.4222,2022,골목상권,2110958,역삼역 4번,3,0,1,0,0,0,1,0,0,861,544,994,28,4,149,59,18,3,8,39,363229,76644,57502,56656,56737,60667,59480,40019,32169,4,0,0,0,0,73119,16627,87494,103984,71746,43502,39875,175.10570826945943,21.93375499593652,593.9113093308664,617.3706851019234,295.31901963753046,149.51504345135166,99.5161505135503,1089.163622904667,0,0,0,0
425834.2741,2022,골목상권,2110999,윗방죽마을공원,3,0,1,0,0,0,1,0,0,3177,2401,268,2,0,0,2,10,4,1,0,67118,13669,9555,9618,9703,9707,9720,9547,9267,10,0,1,0,0,239796,10678,9562,16558,12287,7864,10170,175.12806600014932,21.93744663023236,593.8761487148874,617.414639930478,295.38857295143026,149.53385132054643,99.53661173277078,1089.5632772942963,65355,0,4,0
587810.5704,2022,골목상권,2110957,언북중학교,3,0,1,0,0,0,1,0,0,1761,1088,1251,50,1,94,154,131,44,19,89,943307,203017,146414,144556,146066,155270,152095,103892,95012,7,0,0,0,0,94815,66456,183847,263600,201807,102855,124742,175.18844949849648,21.946511690823368,594.121552082125,617.6689435006972,295.4879070724846,149.51878266406732,99.53104834918928,1089.2159893923522,0,0,0,0
239999.5639,2022,골목상권,2110961,언주역 3번,4,0,1,0,0,0,1,0,0,2163,1335,962,57,0,226,186,103,39,31,99,839680,179872,128017,125695,128061,133714,130588,99704,93902,1,1,0,0,0,63031,79658,160354,212902,167078,103947,115742,175.22365133713222,21.95434082788569,594.2935031367043,617.696492650904,295.5393483563988,149.55660034285415,99.56184630305258,1089.5470703797043,0,0,0,0
253504.863,2022,골목상권,2110985,청담근린공원,3,0,1,0,0,0,1,0,0,956,480,1338,28,0,11,33,46,30,23,103,196749,44471,28490,28548,29003,30044,30047,26764,23854,1,0,0,0,0,43265,18857,29039,43580,39575,28372,37328,175.2163057385112,21.96093353070713,594.1312277247773,617.5480201272061,295.5684968474552,149.56426835952473,99.5616652478059,1089.5208501608531,0,0,0,0
308855.8937,2022,골목상권,2110971,선정릉역 4번,7,0,1,0,0,0,1,0,0,3870,2549,1542,135,28,654,710,170,81,28,57,672672,149617,99966,98920,99467,102359,100770,86279,84912,1,0,1,0,0,133221,39230,135138,197713,133087,81091,86414,175.25193231113042,21.970008296628908,594.3713645957381,617.7705606313909,295.648897052764,149.60541061917743,99.58007915906532,1089.2123877022418,0,0,0,0
123604.8981,2022,골목상권,2110965,언주역 6번,6,0,1,0,0,0,1,0,0,2245,1500,1139,65,12,305,223,98,21,41,6,830335,180185,123714,123628,124774,129933,127142,102054,99090,2,0,0,0,2,65107,47921,189691,241576,166535,91117,93494,175.1830281509284,21.9559463165862,594.0239973910255,617.3981517721477,295.57850403501726,149.55070211116882,99.55883125789138,1089.376525052532,0,0,0,0
520647.9259,2022,골목상권,2110949,한남IC,3,0,1,0,0,0,1,0,0,564,281,1683,4,0,4,9,0,2,9,72,347331,66649,50244,50289,50388,52756,53474,47881,42298,3,0,0,0,0,62126,37039,71043,79600,67163,47753,44731,175.16326907165194,21.953861996882303,593.801693257716,617.2933576199873,295.5737844085854,149.5521693434462,99.5665001964277,1089.6399037818924,0,0,0,0
97965.93704,2022,골목상권,2110980,개포지구대옆,3,0,1,0,0,0,1,0,0,2629,1125,663,76,5,134,207,231,54,6,60,623901,126801,91873,90068,91006,91992,91526,84278,83156,1,0,0,0,0,85827,90421,77768,102350,112112,102757,138491,175.20424562911955,21.96210739440168,593.9619418912936,617.5054623132188,295.64096365834104,149.59950495061287,99.59028800642623,1089.320333494199,0,0,0,0
362423.6598,2022,골목상권,2110955,논현초등학교,13,0,1,0,0,0,1,0,0,7089,4515,3430,187,16,842,746,183,103,80,168,2989948,669447,431559,427451,433790,439411,436663,414949,406125,12,0,0,0,0,190912,196485,693566,852380,561418,310222,375876,175.18614820995805,21.96043884373821,594.0011823631495,617.4771587852491,295.52883182514205,149.60925681216273,99.61656498494128,1089.6088956154776,0,0,0,0
363417.0333,2022,골목상권,2110981,국악고교사거리,4,0,1,0,0,0,1,0,0,2118,907,361,57,10,137,201,230,17,13,0,423398,83854,60430,60905,61965,62279,62511,58655,56652,2,0,0,0,0,67409,61026,58457,77728,81410,71032,73746,175.08374579186298,21.957529934169504,593.3148192153657,616.8880997599538,295.47450489614414,149.57603749679583,99.58665447460449,1089.8603868946575,0,0,0,0
205569.2556,2022,골목상권,2110977,논현로18길,3,0,1,0,0,0,1,0,0,691,340,148,17,1,34,42,42,7,0,0,154927,32525,22920,22457,22959,23510,23369,19838,19873,0,0,0,0,0,17287,18557,23190,31100,30729,25643,25709,175.02179692648772,21.941809905216683,593.2083377357026,616.6099543466313,295.2230480799856,149.5671846197284,99.59640102604028,1090.3066101950274,0,0,0,0
